t,V
-0.0102,0.016
-0.0101,0.016
-0.01,0.008
-0.0099,0.012
-0.0098,0.012
-0.0097,0.012
-0.0096,0.012
-0.0095,0.012
-0.0094,0.012
-0.0093,0.008
-0.0092,0.012
-0.0091,0.012
-0.009,0.012
-0.0089,0.012
-0.0088,0.012
-0.0087,0.008
-0.0086,0.012
-0.0085,0.012
-0.0084,0.012
-0.0083,0.012
-0.0082,0.012
-0.0081,0.012
-0.008,0.008
-0.0079,0.012
-0.0078,0.012
-0.0077,0.008
-0.0076,0.012
-0.0075,0.012
-0.0074,0.012
-0.0073,0.008
-0.0072,0.012
-0.0071,0.008
-0.007,0.012
-0.0069,0.012
-0.0068,0.012
-0.0067,0.008
-0.0066,0.012
-0.0065,0.012
-0.0064,0.008
-0.0063,0.008
-0.0062,0.012
-0.0061,0.012
-0.006,0.012
-0.0059,0.008
-0.0058,0.008
-0.0057,0.008
-0.0056,0.012
-0.0055,0.012
-0.0054,0.008
-0.0053,0.008
-0.0052,0.012
-0.0051,0.012
-0.005,0.012
-0.0049,0.008
-0.0048,0.008
-0.0047,0.012
-0.0046,0.012
-0.0045,0.012
-0.0044,0.008
-0.0043,0.012
-0.0042,0.008
-0.0041,0.012
-0.004,0.012
-0.0039,0.008
-0.0038,0.012
-0.0037,0.008
-0.0036,0.008
-0.0035,0.012
-0.0034,0.008
-0.0033,0.008
-0.0032,0.008
-0.0031,0.012
-0.003,0.012
-0.0029,0.008
-0.0028,0.008
-0.0027,0.008
-0.0026,0.008
-0.0025,0.012
-0.0024,0.008
-0.0023,0.012
-0.0022,0.008
-0.0021,0.012
-0.002,0.012
-0.0019,0.008
-0.0018,0.012
-0.0017,0
-0.0016,0
-0.0015,0
-0.0014,0
-0.0013,0
-0.0012,-0.004
-0.0011,-0.004
-0.001,-0.004
-0.0009,0
-0.0008,0
-0.0007,0
-0.0006,0.008
-0.0005,0.012
-0.0004,0.012
-0.0003,0.008
-0.0002,0.012
-0.0001,0.012
0,0.008
0.0001,0.012
0.0002,0.008
0.0003,0.008
0.0004,0.008
0.0005,0.016
0.0006,0.008
0.0007,0.012
0.0008,0.008
0.0009,0.008
0.001,0.008
0.0011,0.012
0.0012,0.008
0.0013,0.012
0.0014,0.012
0.0015,0.008
0.0016,0.012
0.0017,0.008
0.0018,0.012
0.0019,0.012
0.002,0.008
0.0021,0.012
0.0022,0.012
0.0023,0.008
0.0024,0.012
0.0025,0.008
0.0026,0.008
0.0027,0.012
0.0028,0.008
0.0029,0.012
0.003,0.008
0.0031,0.012
0.0032,0.012
0.0033,0.008
0.0034,0.008
0.0035,0.008
0.0036,0.012
0.0037,0.008
0.0038,0.008
0.0039,0.008
0.004,0.012
0.0041,0.012
0.0042,0.012
0.0043,0.008
0.0044,0.012
0.0045,0.012
0.0046,0.008
0.0047,0.012
0.0048,0.008
0.0049,0.012
0.005,0.008
0.0051,0.012
0.0052,0.008
0.0053,0.012
0.0054,0.012
0.0055,0.012
0.0056,0.008
0.0057,0.008
0.0058,0.008
0.0059,0.008
0.006,0.012
0.0061,0.012
0.0062,0.008
0.0063,0.012
0.0064,0.012
0.0065,0.012
0.0066,0.012
0.0067,0.012
0.0068,0.008
0.0069,0.012
0.007,0.008
0.0071,0.008
0.0072,0.008
0.0073,0.008
0.0074,0.012
0.0075,0.012
0.0076,0.012
0.0077,0.012
0.0078,0.012
0.0079,0.008
0.008,0.008
0.0081,0.008
0.0082,0.012
0.0083,0.012
0.0084,0.012
0.0085,0.012
0.0086,0.008
0.0087,0.008
0.0088,0.008
0.0089,0.012
0.009,0.008
0.0091,0.008
0.0092,0.008
0.0093,0.008
0.0094,0
0.0095,0
0.0096,0
0.0097,0
0.0098,0
0.0099,0
0.01,0
0.0101,0
0.0102,0
0.0103,0
0.0104,-0.004
0.0105,0.008
0.0106,0.008
0.0107,0.012
0.0108,0.008
0.0109,0.012
0.011,0.012
0.0111,0.012
